Name,Team,G,Rec,Tgt,RecYds,RecY/G,RecAvg,RecLng,YAC,1stD,RecTD,Rush,RushYds,RushY/G,Avg,RushTD,Fum,FumL
Rob Gronkowski,NWE,15,72,120,1176,78.4,16.3,76,7.6,52,11,0,0,0,,0,0,0
Greg Olsen,CAR,16,77,124,1104,69,14.3,52,4.6,52,7,0,0,0,,0,1,1
Delanie Walker,TEN,15,94,133,1088,72.5,11.6,61,4.1,52,6,1,36,2.4,36,0,0,0
Gary Barnidge,CLE,16,79,125,1043,65.2,13.2,40,4.2,52,9,0,0,0,,0,0,0
Jordan Reed,WAS,14,87,114,952,68,10.9,32,5.6,54,11,0,0,0,,0,3,2
Travis Kelce,KAN,16,72,103,875,54.7,12.2,42,7.4,40,5,0,0,0,,0,2,2
Zach Ertz,PHI,15,75,112,853,56.9,11.4,60,4.3,39,2,0,0,0,,0,1,1
Benjamin Watson,NOR,16,74,110,825,51.6,11.1,46,3.2,42,6,0,0,0,,0,1,1
Jason Witten,DAL,16,77,104,713,44.6,9.3,35,3.1,36,3,0,0,0,,0,1,1
Jacob Tamme,ATL,15,59,81,657,43.8,11.1,41,3.8,31,1,0,0,0,,0,0,0
Antonio Gates,SDG,11,56,85,630,57.3,11.3,40,4.1,33,5,0,0,0,,0,0,0
Tyler Eifert,CIN,13,52,74,615,47.3,11.8,31,3.9,38,13,0,0,0,,0,0,0
Jimmy Graham,SEA,11,48,74,605,55,12.6,45,4.8,29,2,0,0,0,,0,0,0
Eric Ebron,DET,14,47,70,537,38.4,11.4,55,6.1,27,5,0,0,0,,0,0,0
Heath Miller,PIT,15,60,81,535,35.7,8.9,27,3.6,29,2,1,2,0.1,2,0,0,0
Charles Clay,BUF,13,51,77,528,40.6,10.4,40,4.8,26,3,0,0,0,,0,1,0
Owen Daniels,DEN,16,46,77,517,32.3,11.2,37,5.8,27,3,0,0,0,,0,0,0
Richard Rodgers,GNB,16,58,85,510,31.9,8.8,61,3.8,27,8,1,11,0.7,11,0,0,0
Kyle Rudolph,MIN,16,49,73,495,30.9,10.1,47,4,25,5,0,0,0,,0,0,0
Coby Fleener,IND,16,54,84,491,30.7,9.1,57,3.3,23,3,0,0,0,,0,0,0
Jared Cook,LAR,16,39,75,481,30.1,12.3,49,5.5,19,0,0,0,0,,0,2,1
Will Tye,NYG,13,42,62,464,35.7,11,45,4.9,23,3,0,0,0,,0,1,1
Julius Thomas,JAC,12,46,80,455,37.9,9.9,34,3,25,5,0,0,0,,0,0,0
Martellus Bennett,CHI,11,53,80,439,39.9,8.3,24,4.1,24,3,0,0,0,,0,2,0
Zach Miller,CHI,15,34,46,439,29.3,12.9,87,6.7,17,5,0,0,0,,0,0,0
Ladarius Green,SDG,13,37,63,429,33,11.6,31,6.1,24,4,0,0,0,,0,0,0
Crockett Gillmore,BAL,10,33,47,412,41.2,12.5,46,7.5,17,4,0,0,0,,0,0,0
Brent Celek,PHI,16,27,35,398,24.9,14.7,60,6.6,21,3,0,0,0,,0,1,0
Vernon Davis,DEN,15,38,58,395,26.3,10.4,43,4.2,21,0,0,0,0,,0,0,0
Jordan Cameron,MIA,16,35,70,386,24.1,11,29,2.2,21,3,0,0,0,,0,1,0
Austin Seferian-Jenkins,TAM,7,21,39,338,48.3,16.1,43,4.6,18,4,0,0,0,,0,0,0
Clive Walford,OAK,16,28,50,329,20.6,11.8,33,4.6,20,3,0,0,0,,0,0,0
Vance McDonald,SFO,14,30,46,326,23.3,10.9,36,6.1,15,3,0,0,0,,0,2,0
Darren Fells,ARI,14,21,28,311,22.2,14.8,48,6.3,15,3,0,0,0,,0,0,0
Anthony Fasano,TEN,16,26,42,289,18.1,11.1,33,5.5,16,2,0,0,0,,0,0,0
Cameron Brate,TAM,14,23,30,288,20.6,12.5,46,2.3,14,3,0,0,0,,0,0,0
Mychal Rivera,OAK,16,32,46,280,17.5,8.8,29,4.4,12,1,0,0,0,,0,2,0
Maxx Williams,BAL,14,32,48,268,19.1,8.4,28,4.8,16,1,0,0,0,,0,1,0
Scott Chandler,NWE,15,23,42,259,17.3,11.3,30,2.7,14,4,0,0,0,,0,0,0
Ryan Griffin,HOU,9,20,34,251,27.9,12.6,37,5.2,13,2,0,0,0,,0,0,0
Lance Kendricks,LAR,15,25,40,245,16.3,9.8,37,5.2,11,2,0,0,0,,0,0,0
Marcedes Lewis,JAC,16,16,37,226,14.1,14.1,45,10.1,8,0,0,0,0,,0,0,0
Jermaine Gresham,ARI,15,18,32,223,14.9,12.4,22,4.1,13,1,0,0,0,,0,0,0
Larry Donnell,NYG,8,29,41,223,27.9,7.7,22,2.7,13,2,0,0,0,,0,0,0
Luke Willson,SEA,14,17,26,213,15.2,12.5,24,6.2,11,1,0,0,0,,0,0,0
Blake Bell,SFO,14,15,25,186,13.3,12.4,48,6.3,5,0,0,0,0,,0,0,0
Garrett Celek,SFO,11,19,28,186,16.9,9.8,33,4.9,10,3,0,0,0,,0,0,0
Virgil Green,DEN,16,12,15,173,10.8,14.4,32,9.8,9,1,0,0,0,,0,0,0
C.J. Fiedorowicz,HOU,16,17,24,167,10.4,9.8,25,4.1,8,1,0,0,0,,0,1,1
Nick Boyle,BAL,11,18,23,153,13.9,8.5,25,5.5,10,0,0,0,0,,0,0,0
Chris Gragg,BUF,13,12,20,150,11.5,12.5,29,4.4,8,0,0,0,0,,0,0,0
Clay Harbor,JAC,15,14,20,149,9.9,10.6,26,3.9,9,1,0,0,0,,0,0,0
Derek Carrier,WAS,12,17,22,141,11.8,8.3,20,4.7,4,1,0,0,0,,0,0,0
Cooper Helfet,SEA,14,13,22,130,9.3,10,20,6.5,7,0,0,0,0,,0,0,0
Tyler Kroft,CIN,16,11,15,129,8.1,11.7,22,6.8,6,1,0,0,0,,0,0,0
Dion Sims,MIA,13,18,25,127,9.8,7.1,22,4.4,7,1,0,0,0,,0,1,1
Brandon Myers,TAM,11,12,17,127,11.5,10.6,17,1.8,7,0,0,0,0,,0,0,0
Rhett Ellison,MIN,15,11,19,124,8.3,11.3,41,11.4,5,1,0,0,0,,0,0,0
Craig Stevens,TEN,16,12,16,121,7.6,10.1,27,3.1,5,2,0,0,0,,0,0,0
Ed Dickson,CAR,16,17,26,121,7.6,7.1,17,2.5,10,2,0,0,0,,0,0,0
Josh Hill,NOR,16,16,30,120,7.5,7.5,19,4.5,8,2,0,0,0,,0,0,0
Dwayne Allen,IND,13,16,29,109,8.4,6.8,21,3.9,4,1,1,1,0.1,1,0,0,0
Justin Perillo,GNB,9,11,13,102,11.3,9.3,24,2,5,1,0,0,0,,0,0,0
Ryan Hewitt,CIN,15,8,12,99,6.6,12.4,22,7.9,3,0,0,0,0,,0,0,0
MyCole Pruitt,MIN,16,10,16,89,5.6,8.9,32,5.1,3,0,0,0,0,,0,0,0
James O'Shaughnessy,KAN,7,6,9,87,12.4,14.5,30,10,4,0,0,0,0,,0,0,0
James Hanna,DAL,14,9,14,79,5.6,8.8,17,8.6,4,0,0,0,0,,0,0,0
Tim Wright,DET,9,9,16,77,8.6,8.6,26,1.7,6,2,0,0,0,,0,0,0
Jeff Cumberland,NYJ,15,5,14,77,5.1,15.4,44,10.6,3,0,0,0,0,,0,0,0
Michael Hoomanawanui,NOR,12,11,16,76,6.3,6.9,19,2.3,4,3,1,0,0,0,0,1,1
Demetrius Harris,KAN,16,7,11,74,4.6,10.6,25,2.6,2,1,0,0,0,,0,0,0
Jack Doyle,IND,16,12,14,72,4.5,6,19,4.7,6,1,0,0,0,,0,0,0
Chase Coffman,SEA,2,8,11,71,35.5,8.9,16,2.6,5,1,0,0,0,,0,0,0
Lee Smith,OAK,15,12,13,70,4.7,5.8,17,5.4,4,1,0,0,0,,0,0,0
John Phillips,SDG,16,10,11,69,4.3,6.9,15,1.6,6,1,0,0,0,,0,0,0
Brandon Pettigrew,DET,8,7,15,67,8.4,9.6,21,5.4,4,1,0,0,0,,0,0,0
Gavin Escobar,DAL,14,8,13,64,4.6,8,22,3,5,1,0,0,0,,0,1,1
Jim Dray,CLE,16,6,16,61,3.8,10.2,18,6,3,0,0,0,0,,0,0,0
Luke Stocker,TAM,14,9,13,61,4.4,6.8,14,4.3,3,1,0,0,0,,0,0,0
Daniel Fells,NYG,2,6,7,60,30,10,23,5.8,4,0,0,0,0,,0,0,0
Jerome Cunningham,NYG,9,8,16,59,6.6,7.4,16,3.6,4,0,0,0,0,,0,0,0
Tony Moeaki,ATL,11,3,5,58,5.3,19.3,42,17.7,3,1,0,0,0,,0,0,0
Jesse James,PIT,8,8,11,56,7,7,20,2.5,2,1,0,0,0,,0,0,0
Trey Burton,PHI,16,3,4,54,3.4,18,43,10.7,1,0,0,0,0,,0,0,0
Jake Stoneburner,MIA,11,5,5,47,4.3,9.4,13,-0.4,3,2,0,0,0,,0,0,0
Levine Toilolo,ATL,16,7,12,44,2.8,6.3,11,3,3,0,0,0,0,,0,0,0
Nick O'Leary,BUF,4,1,3,37,9.3,37,37,37,1,0,0,0,0,,0,0,0
Rob Housler,CHI,10,4,7,33,3.3,8.3,12,2.8,3,0,0,0,0,,0,0,0
Troy Niklas,ARI,16,4,4,33,2.1,8.3,13,-0.3,3,2,0,0,0,,0,0,0
Phillip Supernaw,TEN,16,3,4,32,2,10.7,16,4.7,1,0,0,0,0,,0,1,1
Jake Fisher,CIN,14,1,5,31,2.2,31,31,22,1,0,0,0,0,,0,0,0
Andrew Quarless,GNB,5,4,5,31,6.2,7.8,13,2.5,1,0,0,0,0,,0,0,0
Garrett Graham,HOU,8,4,19,30,3.8,7.5,9,0,1,1,0,0,0,,0,0,0
Cory Harkey,LAR,16,5,6,26,1.6,5.2,12,4.2,2,0,0,0,0,,0,0,0
Michael Williams,NWE,15,3,6,26,1.7,8.7,15,4.3,1,0,0,0,0,,0,0,0
Matt LaCosse,NYG,2,3,3,22,11,7.3,10,2.3,2,0,0,0,0,,0,0,0
Kellen Davis,NYJ,16,3,11,18,1.1,6,9,0.7,2,1,0,0,0,,0,0,0
Matt Spaeth,PIT,13,2,3,10,0.8,5,6,4.5,1,0,0,0,0,,0,0,0
Scott Simonson,CAR,9,1,1,10,1.1,10,10,9,1,0,0,0,0,,0,0,0
Khari Lee,CHI,16,1,3,7,0.4,7,7,4,0,0,0,0,0,,0,0,0
E.J. Bibbs,CLE,7,1,2,7,1,7,7,1,0,0,0,0,0,,0,0,0
Brian Parker,KAN,9,1,2,6,0.7,6,6,8,0,0,0,0,0,,0,0,0
Nic Jacobs,JAC,11,1,3,6,0.5,6,6,5,0,0,0,0,0,,0,0,0
David Johnson,SDG,16,1,2,4,0.3,4,4,5,0,0,2,4,0.3,2,0,1,1
Brian Leonhardt,SFO,4,1,1,4,1,4,4,0,0,0,0,0,0,,0,0,0
C.J. Uzomah,CIN,5,1,1,4,0.8,4,4,2,1,0,0,0,0,,0,0,0
MarQueis Gray,BUF,4,1,1,2,0.5,2,2,5,0,0,0,0,0,,0,0,0
Matthew Mulligan,BUF,12,1,1,2,0.2,2,2,2,0,0,0,0,0,,0,0,0
Asante Cleveland,NWE,4,1,1,1,0.3,1,1,1,0,0,0,0,0,,0,0,0
Alex Smith,WAS,3,0,2,0,0,,0,,0,0,0,0,0,,0,0,0
Tyler Ott,NYG,1,0,0,0,0,,0,,0,0,0,0,0,,0,1,0
Geoff Swaim,DAL,4,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0
